Show, Airdate, AppearanceID, GuestResource, WikipediaLink, LabelSource, Academic, Actor, Athlete, Business, Clergy, Comedian, Journalist, Musician, Policy, Politician, Writer
tds, 2003-01-07, 1, Cameron_Diaz, http://en.wikipedia.org/wiki/Cameron_Diaz, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-01-08, 2, Ray_Liotta, http://en.wikipedia.org/wiki/Ray_Liotta, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-01-09, 3, Philip_Seymour_Hoffman, http://en.wikipedia.org/wiki/Philip_Seymour_Hoffman, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-01-13, 4, Kathy_Bates, http://en.wikipedia.org/wiki/Kathy_Bates, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-01-14, 5, Michael_Moore, http://en.wikipedia.org/wiki/Michael_Moore, heuristics, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
tds, 2003-01-15, 6, Dave_Chappelle, http://en.wikipedia.org/wiki/Dave_Chappelle, heuristics, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-01-16, 7, Joseph_Lieberman, http://en.wikipedia.org/wiki/Joseph_Lieberman, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-01-20, 8, Merv_Griffin, http://en.wikipedia.org/wiki/Merv_Griffin, heuristics, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
tds, 2003-01-21, 9, Simon_Cowell, http://en.wikipedia.org/wiki/Simon_Cowell, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-01-22, 10, John_C._Reilly, http://en.wikipedia.org/wiki/John_C._Reilly, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-01-23, 11, Jimmy_Kimmel, http://en.wikipedia.org/wiki/Jimmy_Kimmel, heuristics, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0
tds, 2003-01-27, 12, Rosie_Perez, http://en.wikipedia.org/wiki/Rosie_Perez, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
tds, 2003-01-28, 13, Bill_Moyers, http://en.wikipedia.org/wiki/Bill_Moyers, heuristics, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
tds, 2003-01-29, 14, Jeff_Greenfield, http://en.wikipedia.org/wiki/Jeff_Greenfield, heuristics, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
tds, 2003-01-30, 15, Laurence_Fishburne, http://en.wikipedia.org/wiki/Laurence_Fishburne, heuristics, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
